Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Fantasy_yr,Posit
83,Anthony Firkser (NE),9,13,100,11.1,22,1,0,0,0,0,0,8,10,1.3,0.00%,2022,TE
84,Armani Rogers (WAS),5,6,64,12.8,23,1,0,2,26,0,0,9,9,1,0.10%,2022,TE
85,Parker Hesse (ATL),9,11,89,9.9,22,1,0,0,0,0,0,12,8.9,0.7,0.00%,2022,TE
86,Kyle Rudolph (FA),3,5,28,9.3,12,0,1,0,0,0,0,5,8.8,1.8,0.00%,2022,TE
87,Grant Calcaterra (PHI),5,9,81,16.2,40,3,0,0,0,0,0,6,8.1,1.4,0.10%,2022,TE
88,Blake Bell (KC),2,2,20,10,17,0,1,0,0,0,0,2,8,4,0.10%,2022,TE
89,Tre' McKitty (LAC),10,18,72,7.2,12,0,0,0,0,0,0,13,7.2,0.6,0.10%,2022,TE
90,Andrew Beck (HOU),5,11,69,13.8,27,2,0,2,0,0,0,9,6.9,0.8,0.00%,2022,TE
91,Tyler Mabry (SEA),1,1,7,7,7,0,1,0,0,0,0,1,6.7,6.7,0.00%,2022,TE
92,Tyler Kroft (MIA),4,5,57,14.3,28,1,0,0,0,0,0,6,5.7,1,0.10%,2022,TE
93,Nick Vannett (HOU),6,9,55,9.2,15,0,0,0,0,0,0,7,5.5,0.8,0.00%,2022,TE
94,Charlie Kolar (BAL),4,6,49,12.3,15,0,0,0,0,0,0,1,4.9,4.9,0.10%,2022,TE
95,Trevon Wesco (TEN),2,4,26,13,23,1,0,0,0,0,0,6,4.6,0.8,0.10%,2022,TE
96,Stephen Sullivan (CAR),2,6,46,23,33,2,0,0,0,0,0,8,4.6,0.6,0.00%,2022,TE
97,Chris Manhertz (DEN),6,8,42,7,21,1,0,0,0,0,0,8,4.2,0.5,0.00%,2022,TE
98,Luke Farrell (JAC),4,4,40,10,15,0,0,0,0,0,0,4,4,1,0.00%,2022,TE
99,Kendall Blanton (KC),2,2,35,17.5,28,1,0,0,0,0,0,2,3.5,1.8,0.00%,2022,TE
100,Ryan Griffin (FA),4,8,26,6.5,18,0,0,0,0,0,0,10,2.6,0.3,0.00%,2022,TE
101,Ben Ellefson (FA),3,3,26,8.7,12,0,0,0,0,0,0,2,2.6,1.3,0.00%,2022,TE
102,Tyler Davis (GB),4,7,26,6.5,23,1,0,0,0,0,0,11,2.6,0.2,0.00%,2022,TE
103,Cole Turner (WAS),2,9,23,11.5,18,0,0,0,0,0,0,7,2.3,0.3,0.10%,2022,TE
104,Jesper Horsted (LV),3,4,19,6.3,9,0,0,0,0,0,0,5,1.9,0.4,0.00%,2022,TE
105,Maxx Williams (FA),3,3,18,6,7,0,0,0,0,0,0,3,1.8,0.6,0.00%,2022,TE
106,Stone Smartt (LAC),4,5,17,4.3,8,0,0,0,0,0,0,3,1.7,0.6,0.00%,2022,TE
107,Sean McKeon (DAL),2,3,11,5.5,10,0,0,0,0,0,0,3,1.1,0.4,0.00%,2022,TE
108,Stephen Anderson (FA),3,7,9,3,6,0,0,0,0,0,0,9,0.9,0.1,0.00%,2022,TE
109,Jeremy Ruckert (NYJ),1,2,8,8,8,0,0,0,0,0,0,2,0.8,0.4,0.10%,2022,TE
110,Tommy Sweeney (NYG),1,1,7,7,7,0,0,0,0,0,0,2,0.7,0.4,0.00%,2022,TE
111,Jacob Harris (JAC),1,1,6,6,6,0,0,0,0,0,0,3,0.6,0.2,0.00%,2022,TE
112,Mason Schreck (HOU),2,2,6,3,6,0,0,0,0,0,0,2,0.6,0.3,0.00%,2022,TE
113,Devin Asiasi (CIN),2,4,5,2.5,6,0,0,0,0,0,0,5,0.5,0.1,0.10%,2022,TE
114,Richard Rodgers (FA),1,4,4,4,4,0,0,0,0,0,0,3,0.4,0.1,0.00%,2022,TE
115,Stephen Carlson (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
116,Mitchell Fraboni (DEN),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
117,Matt Sokol (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
118,Matthew Orzech (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
119,Jace Sternberger (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
120,Hakeem Butler (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
121,J.J. Arcega-Whiteside (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
122,Daniel Helm (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
123,Brandon Dillon (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
124,Tyree Jackson (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
125,Alize Mack (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
126,Tommy Hudson (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
127,Nick Bowers (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
128,Scotty Washington (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
129,Jake Bargas (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
130,Feleipe Franks (ATL),0,2,0,0,0,0,0,1,0,0,0,5,0,0,0.00%,2022,TE
131,Rashod Berry (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
132,Jared Pinkney (CHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
133,Chase Allen (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
134,Dalton Keene (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
135,Charlie Woerner (SF),0,2,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2022,TE
136,Noah Togiai (ARI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
137,Lawrence Cager (NYG),13,19,118,9.1,20,1,1,0,0,0,0,6,0,0,0.00%,2022,TE
138,Reggie Gilliam (BUF),9,11,76,8.4,14,0,1,0,0,0,0,8,0,0,0.10%,2022,TE
139,Dre Miller (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
140,Chris Pierce Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
141,Leroy Watson (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
142,Jake Tonges (CHI),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
143,Rodney Williams (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
144,Curtis Hodges (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
145,Justin Rigg (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
146,Zaire Mitchell-Paden (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
147,Cole Fotheringham (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
148,Tucker Fisk (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
149,Nikola Kalinic (LAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
150,John FitzPatrick (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
151,Tanner Conner (MIA),0,3,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
152,Gerrit Prince (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
153,Nick Muse (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
154,Lucas Krull (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
155,Cameron Latu (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
156,Noah Gindorff (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
157,Andrew Ogletree (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
158,Seth Green (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
159,Thomas Greaney (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
160,Travis Vokolek (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
161,Julian Hill (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
162,Johnny Lumpkin (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
163,Ryan Miller (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
164,Tanner Taula (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
165,Nate Adkins (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
166,John Samuel Shenker (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
167,Princeton Fant (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
168,Izaiah Gathings (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
169,Brady Russell (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
170,E.J. Jenkins (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
171,Thomas Odukoya (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
172,Dalton Kincaid (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.60%,2022,TE
173,Luke Schoonmaker (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60%,2022,TE
174,Luke Musgrave (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90%,2022,TE
175,Tucker Kraft (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%,2022,TE
176,Brenton Strange (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,2022,TE
177,Payne Durham (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
178,Zack Kuntz (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
179,Ben Sims (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
180,Ryan Jones (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
181,Brayden Willis (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
182,Joel Wilson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
183,Michael Ezeike (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
184,Christian Sims (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
185,Joel Honigford (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
186,Blake Whiteheart (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
187,Henry Pearson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
188,Griffin Hebert (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
189,Christian Trahan (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
190,Dominique Dafney (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
191,Hunter Thedford (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
192,Hunter Long (LAR),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.10%,2022,TE
193,Kenny Yeboah (NYJ),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
194,Miller Forristall (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
195,Matt Bushman (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
196,Hunter Kampmoyer (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
197,Zach Davidson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
198,Bernhard Seikovits (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
199,Ben Mason (BAL),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
200,Davis Allen (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
201,Austin Allen (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%,2022,TE
202,Will Mallory (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
203,Josh Whyle (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
204,Michael Mayer (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10%,2022,TE
205,Darnell Washington (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%,2022,TE
206,Sam LaPorta (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.30%,2022,TE
207,Josh Pederson (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
208,Sammis Reyes (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
209,Elijah Higgins (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%,2022,TE
210,Dominique Curry (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
211,Drake Dunsmore (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
212,James Dearth (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
213,Darnell Dinkins (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
214,Derek Fine (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
215,J.P. Foschi (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
216,Brad Cottam (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
217,Jimmy Graham (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%,2022,TE
218,Marquez Branson (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
219,Joey Haynos (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
220,Justin Snow (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
221,Keith Zinger (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
222,Jacob Hollister (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
223,Darrell Daniels (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
224,J.P. Holtz (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%,2022,TE
225,Zach Wood (NO),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
226,Troy Fumagalli (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
227,Jordan Thomas (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
228,David Wells (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
229,Kevin Rader (TEN),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%,2022,TE
230,Colin Thompson (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
231,Beau Brinkley (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.20%,2022,TE
232,James Winchester (KC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
233,Tyler Ott (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
234,Patrick Scales (CHI),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%,2022,TE
235,Andrew DePaola (MIN),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
236,Jesse James (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
237,Nick Boyle (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%,2022,TE
238,La'Michael Pettway (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,2022,TE
239,Drew Sample (CIN),2,2,-2,-1,2,0,0,0,0,0,0,2,-0.2,-0.1,0.10%,2022,TE
